filename,width,height,class,xmin,ymin,xmax,ymax
WIN_20230327_12_01_28_Pro_jpg.rf.f7a3ae4d84683ee5af00cc9843e0bd78.jpg,224,224,Dressing,0,0,224,224
WIN_20230327_12_12_35_Pro_jpg.rf.f8ee48dc9b7cfb6ca5b452394e93ffb6.jpg,224,224,Cut,0,0,224,224
WIN_20230327_12_11_19_Pro_jpg.rf.f91f76b4d59c00d8d3accecd7f51fabe.jpg,224,224,Cut,0,0,224,224
WIN_20230301_18_58_54_Pro_jpg.rf.f9d180132b75a757bd8a6a72dd34ed42.jpg,224,224,Cut,0,24,224,201
WIN_20230301_18_20_15_Pro_jpg.rf.f9f8d5b1bc41744eded89af7ff72dc23.jpg,224,224,Red_T,70,6,224,77
WIN_20230301_18_20_15_Pro_jpg.rf.f9f8d5b1bc41744eded89af7ff72dc23.jpg,224,224,Dressing,3,9,222,209
WIN_20230301_18_57_47_Pro_jpg.rf.fa83d1be1098138707e647dee283bea2.jpg,224,224,Cut,0,0,224,224
WIN_20230301_18_32_00_Pro_jpg.rf.fa87fc751561de6b52c6152c42308da3.jpg,224,224,Cut,0,0,224,224
WIN_20230301_18_50_00_Pro_jpg.rf.fac5a64defb1f6fad72e26d970e5020c.jpg,224,224,Dressing,0,0,224,224
WIN_20230301_18_47_59_Pro_jpg.rf.fa967fe27440bd3106952e1938ab2db6.jpg,224,224,Dressing,0,0,224,224
WIN_20230327_12_12_45_Pro_jpg.rf.faac92b5c68e9b961033ebaa0139fbcd.jpg,224,224,Cut,0,0,224,224
WIN_20230301_18_32_37_Pro_jpg.rf.fa25c09475f12f186c2bcb164f419271.jpg,224,224,Cut,0,16,224,206
WIN_20230301_19_03_05_Pro_jpg.rf.fb67217fabf5e0981bdadbcecbf7cf97.jpg,224,224,Red_T,2,132,138,212
WIN_20230301_19_03_05_Pro_jpg.rf.fb67217fabf5e0981bdadbcecbf7cf97.jpg,224,224,Dressing,0,9,219,214
WIN_20230301_18_53_44_Pro_jpg.rf.ff0a46ac92572d5a9df28fd52fc472b4.jpg,224,224,F_Body,172,62,203,108
WIN_20230301_18_53_44_Pro_jpg.rf.ff0a46ac92572d5a9df28fd52fc472b4.jpg,224,224,Dressing,0,0,224,224
WIN_20230301_18_24_01_Pro_jpg.rf.fe86d068ed896d43bdfba490429e1370.jpg,224,224,Red_T,54,0,219,44
WIN_20230301_18_24_01_Pro_jpg.rf.fe86d068ed896d43bdfba490429e1370.jpg,224,224,Dressing,0,0,224,224
WIN_20230327_11_44_06_Pro_jpg.rf.fea06fd66238eb6277b13bd10a744f3c.jpg,224,224,Cut,0,18,224,196
WIN_20230301_18_50_22_Pro_jpg.rf.ff83d7890a43f6914b160c277866aeb4.jpg,224,224,Dressing,0,0,224,224
WIN_20230301_18_48_25_Pro_jpg.rf.fe8dce98122b58098f8e9a454825c98f.jpg,224,224,Dressing,0,0,224,224
WIN_20230301_18_53_51_Pro_jpg.rf.fbbcc4bdbda358a924a85e4de0a426f7.jpg,224,224,F_Body,121,126,172,162
WIN_20230301_18_53_51_Pro_jpg.rf.fbbcc4bdbda358a924a85e4de0a426f7.jpg,224,224,Dressing,0,0,224,224
WIN_20230301_18_50_59_Pro_jpg.rf.ffccc229305cc2ff31968802f24e6dfa.jpg,224,224,Dressing,0,0,224,224
WIN_20230301_18_45_06_Pro_jpg.rf.fe2bf972e3c2e76b13f23f2d4bc16dfd.jpg,224,224,Dressing,2,0,221,224
WIN_20230301_18_28_48_Pro_jpg.rf.731ee81864dd70f97ba27592e37effaa.jpg,224,224,F_Body,192,75,216,105
WIN_20230301_18_28_48_Pro_jpg.rf.731ee81864dd70f97ba27592e37effaa.jpg,224,224,Dressing,0,8,222,215
